tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
vocwb_d,Volatile Organic Compounds,VTQ260A,Visit a dry cleaning shop?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ260B,Spend 10 minutes near cigarette smoke?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ270A,Take a hot shower?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ270B,How long since hot shower?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280A,Breathe fumes from paints?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280B,Breathe fumes from degreasing cleaners?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280C,Breathe fumes from diesel fuel?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280D,Breathe fumes from paint thinner?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280E,Breathe fumes from drycleaning fluid?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280F,Breathe fumes from fingernail polish?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280G,Breathe fumes from glue?,laboratory,2005-2006,0,0
vocwb_d,Volatile Organic Compounds,VTQ280H,Breathe fumes from varnish?,laboratory,2005-2006,0,0
