tab_name,tab_desc,var,var_desc,module,series,is_comment,is_weight
dr1tot_e,Total Nutrients -- First Day,DRD370E,Cod eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370EQ,# of times cod eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370F,Flatfish eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370FQ,# of times flatfish eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370G,Haddock eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370GQ,# of times haddock eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370H,Mackerel eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370HQ,# of times mackerel eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370I,Perch eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370IQ,# of times perch eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370J,Pike eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370JQ,# of times pike eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370K,Pollock eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370KQ,# of times pollock eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370L,Porgy eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370LQ,# of times porgy eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370M,Salmon eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370MQ,# of times salmon eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370N,Sardines eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370NQ,# of times sardines eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370O,Sea bass eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370OQ,# of times sea bass eaten past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370P,Shark eaten during past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370PQ,# of times shark eaten in past 30 days,Dietary,2007-2008,0,0
dr1tot_e,Total Nutrients -- First Day,DRD370Q,Swordfish eaten during past 30 days,Dietary,2007-2008,0,0
